name,age,net_worth,company,country,industry,education,philanthropy,private_jet,yacht
Mano Erik,37,Rupiah,Divape,Indonesia,real estate,high school diploma,false,false,true
Matthiew Prickett,49,Kuna,Skyba,Croatia,retail,high school diploma,true,true,false
Rahal Frusher,79,Euro,Abatz,Portugal,technology,high school diploma,false,true,false
Essa Biever,31,Peso,Brainverse,Philippines,technology,high school diploma,true,true,true
Berk Chessun,80,Real,Linktype,Brazil,finance,bachelor's degree,true,false,true
Marty Searby,70,Real,Devpulse,Brazil,finance,PhD,true,false,false
Leonard Dripp,63,Hryvnia,Innotype,Ukraine,real estate,PhD,false,false,false
Caddric Asher,73,Real,Voomm,Brazil,real estate,PhD,false,true,false
Jolyn Strike,83,Rupiah,DabZ,Indonesia,real estate,bachelor's degree,true,true,true
Yolanthe Laite,57,Dram,Digitube,Armenia,retail,master's degree,true,false,false
Francene Simak,58,Ruble,Chatterbridge,Russia,technology,master's degree,true,false,false
Sheelah Briatt,77,Real,Zooveo,Brazil,technology,PhD,false,false,true
Samantha Faber,45,Ruble,Plajo,Russia,retail,PhD,true,false,false
Natalie Pourveer,64,Zloty,Muxo,Poland,real estate,bachelor's degree,true,true,false
Dunc Vaz,78,Yuan Renminbi,Youopia,China,retail,high school diploma,true,true,true
Ulysses Lally,42,Euro,Photobug,France,finance,master's degree,false,true,true
Levey Feckey,63,Yuan Renminbi,Eabox,China,retail,high school diploma,false,true,true
Sonnie Emanuelli,67,Shilling,Aivee,Uganda,retail,PhD,true,false,false
Langsdon Tidd,76,Rupiah,Lajo,Indonesia,technology,PhD,false,true,true
Gavan Kidston,83,Ruble,Latz,Russia,retail,bachelor's degree,true,false,true
Etan Haizelden,79,Yuan Renminbi,Voolia,China,technology,master's degree,false,false,true
Devin Pate,63,Ruble,Tavu,Russia,retail,PhD,false,false,false
Melisse Lively,65,Ruble,Mynte,Russia,retail,PhD,true,true,true
Fitzgerald Muck,78,Manat,Muxo,Azerbaijan,finance,bachelor's degree,false,false,true
Taddeo Gentery,79,Yuan Renminbi,Livetube,China,technology,PhD,true,false,true
Kienan Ingry,56,Rand,Fanoodle,South Africa,retail,master's degree,true,false,true
Jorge Cromblehome,38,Litas,Brainverse,Lithuania,finance,bachelor's degree,false,false,true
Raff McCutheon,33,Rupiah,Mydo,Indonesia,real estate,high school diploma,false,false,true
Mill Patrone,41,Ruble,Cogibox,Russia,real estate,master's degree,false,false,false
Barty Ransfield,33,Ruble,Zoombeat,Russia,finance,high school diploma,true,false,true
Constanta Hendrickx,76,Yuan Renminbi,Katz,China,real estate,high school diploma,true,false,true
Dillon Mohring,76,Peso,Lazz,Philippines,technology,master's degree,false,true,true
Shaun Caldaro,54,Yuan Renminbi,Camimbo,China,technology,PhD,true,false,false
Tammi Camin,89,Rupiah,Divape,Indonesia,technology,master's degree,false,true,false
Juieta Sandyford,61,Kuna,Gigabox,Croatia,finance,master's degree,true,true,false
Steffie Satyford,85,Birr,Meembee,Ethiopia,technology,PhD,false,true,false
Jodie Thunderman,48,Dollar,Skyble,United States,retail,bachelor's degree,true,true,true
Winston Cornejo,47,Rupiah,Plambee,Indonesia,real estate,master's degree,true,false,false
Pru Cockrem,41,Yen,Wordtune,Japan,real estate,high school diploma,true,false,true
Danie Loosley,59,Pound,Tagopia,Saint Helena,finance,bachelor's degree,false,true,true
Rosemaria Gandy,70,Euro,Bubblebox,Portugal,finance,high school diploma,false,true,false
Conant Gargett,77,Yuan Renminbi,Quatz,China,retail,bachelor's degree,false,false,true
Merralee Ivanin,58,Won,Rhynoodle,South Korea,retail,master's degree,false,false,false
Xavier Wemes,82,Zloty,Pixoboo,Poland,real estate,high school diploma,false,false,false
Saunders Durrett,81,Ruble,Katz,Belarus,retail,high school diploma,true,true,true
Jules MacBey,58,Dong,Pixope,Vietnam,finance,high school diploma,true,true,true
Kippy Brusby,90,Euro,Blogtags,Germany,finance,high school diploma,true,true,false
Zondra O' Clovan,66,Franc,Zooxo,Comoros,retail,PhD,true,true,false
Francine Galler,43,Rupiah,Kwilith,Indonesia,real estate,PhD,true,false,false
Carolyne Wakely,70,Ruble,Skyvu,Russia,finance,master's degree,false,true,true
Nancy Aleksankin,71,Yuan Renminbi,Browsetype,China,real estate,bachelor's degree,true,false,true
Lanita Brinklow,57,Dollar,Topiclounge,New Zealand,retail,bachelor's degree,true,false,true
Amata Risman,69,Sol,Skinder,Peru,technology,bachelor's degree,false,true,false
Teri Laimable,64,Tugrik,Topiczoom,Mongolia,real estate,high school diploma,false,false,true
Saba Handrik,83,Rupiah,Riffpedia,Indonesia,retail,master's degree,true,false,false
Augie Bern,60,Dinar,Yodo,Serbia,technology,master's degree,false,true,false
Ollie Pawlowicz,70,Rupiah,Edgetag,Indonesia,retail,PhD,false,false,false
Evey Fewtrell,33,Yuan Renminbi,Livetube,China,real estate,PhD,true,true,true
Manda Selwyn,70,Ruble,Divape,Russia,real estate,bachelor's degree,true,false,true
Cirstoforo Sallinger,88,Rupiah,Buzzshare,Indonesia,technology,bachelor's degree,true,true,false
Edith Fley,33,Shilling,Flashset,Tanzania,real estate,bachelor's degree,false,true,false
Gavrielle Kilgour,68,Yuan Renminbi,Mynte,China,real estate,PhD,false,false,true
Godfrey Caddie,87,Dollar,Izio,Canada,technology,bachelor's degree,false,true,false
Shep Richardes,33,Zloty,Shuffledrive,Poland,retail,master's degree,true,true,true
Evangelina Oki,34,Yuan Renminbi,Dablist,China,real estate,high school diploma,false,true,true
Harold Silby,57,Leone,Yakidoo,Sierra Leone,finance,PhD,false,false,false
Caresse Give,67,Tenge,Pixoboo,Kazakhstan,retail,high school diploma,false,false,false
Elvis Dziwisz,80,Yuan Renminbi,Jazzy,China,technology,PhD,false,true,false
Gordon Geockle,82,Baht,Realmix,Thailand,real estate,high school diploma,false,true,false
Minni Jarret,80,Rupiah,Voonyx,Indonesia,retail,bachelor's degree,false,true,true
Zechariah Spurr,36,Peso,Mymm,Philippines,retail,bachelor's degree,false,true,true
Lorenzo Bayle,61,Ruble,Jaxbean,Russia,finance,high school diploma,true,true,true
Dannel Nutbean,51,Yuan Renminbi,Linklinks,China,real estate,bachelor's degree,false,false,false
Rosene Tallach,86,Peso,Topicstorm,Philippines,retail,bachelor's degree,true,true,false
Angele Crain,51,Birr,Youfeed,Ethiopia,technology,high school diploma,false,false,false
Penny Thomason,77,Real,Kwilith,Brazil,retail,bachelor's degree,true,true,true
Lisetta Southwick,39,Euro,Babbleblab,Reunion,technology,high school diploma,false,true,true
Itch Rattenberie,38,Dollar,Abata,Saint Kitts and Nevis,retail,master's degree,true,false,false
Dukey Ainslee,59,Euro,Jabbertype,Portugal,finance,bachelor's degree,false,false,true
Ewan Bassick,80,Yuan Renminbi,Flipbug,China,retail,bachelor's degree,true,false,false
Erma Guitonneau,73,Yen,Riffpedia,Japan,finance,high school diploma,true,false,true
Herc Udell,72,Yuan Renminbi,Jaxspan,China,technology,high school diploma,true,true,false
Darbie Madill,59,Euro,Trudeo,France,retail,bachelor's degree,false,false,true
Millisent Wilcott,69,Krona,Flashset,Sweden,real estate,master's degree,true,true,false
Nollie Weldon,83,Rupiah,Camido,Indonesia,retail,high school diploma,true,true,true
Kleon Klemencic,55,Yuan Renminbi,Miboo,China,technology,PhD,false,true,true
Sandy Giovannacc@i,88,Real,Eamia,Brazil,technology,high school diploma,false,false,false
Beitris Beig,45,Dinar,Brainsphere,Tunisia,technology,PhD,true,false,false
Eldridge Tante,52,Rupiah,Jazzy,Indonesia,real estate,PhD,true,true,false
Roby Vergo,84,Euro,Fivespan,Portugal,real estate,high school diploma,true,false,true
Isidora Clemoes,35,Baht,Jaloo,Thailand,technology,PhD,true,true,false
Albertine Ziemen,89,Peso,Ooba,Philippines,real estate,PhD,false,true,true
Lonny Bonelle,40,Yuan Renminbi,Oozz,China,real estate,bachelor's degree,false,false,false
Munroe Biernat,32,Peso,Topicshots,Argentina,retail,high school diploma,false,true,true
Mari Forty,34,Rupiah,Edgewire,Indonesia,retail,master's degree,false,true,false
Lind Sole,32,Zloty,Gevee,Poland,real estate,bachelor's degree,true,false,false
Nicol Hawkswell,30,Koruna,Gabtune,Czech Republic,real estate,high school diploma,true,false,true
Bambi Kindon,61,Yuan Renminbi,Zoombeat,China,real estate,high school diploma,true,false,true
Gilemette Philcox,56,Euro,Muxo,Greece,technology,bachelor's degree,false,false,false
Koenraad Alyutin,86,Bolivar,Topicware,Venezuela,finance,high school diploma,false,false,true
Luciano Chisnell,36,Real,Wikizz,Brazil,real estate,master's degree,true,true,true
Adriaens Crittal,81,Yen,Lazz,Japan,technology,master's degree,true,true,false
Rene Rockey,60,Yuan Renminbi,Youtags,China,real estate,high school diploma,false,false,true
Loralyn Seegar,81,Rupiah,Geba,Indonesia,real estate,master's degree,true,false,false
Garrett Freund,89,Yuan Renminbi,Fliptune,China,real estate,high school diploma,true,true,true
Carola Pesak,42,Yuan Renminbi,Thoughtsphere,China,real estate,PhD,true,false,false
Andy Greenmon,51,Pataca,Yodel,Macao,real estate,PhD,true,false,false
Franky Snedker,63,Dollar,Dazzlesphere,United States,finance,PhD,false,false,false
Holly Mariotte,76,Yuan Renminbi,Dynava,China,technology,PhD,true,false,false
Ailyn Yeates,31,Rupee,Quimm,Mauritius,finance,master's degree,false,false,false
Jordanna Gherarducci,79,Yuan Renminbi,Kayveo,China,technology,high school diploma,false,true,false
Brandtr Wisham,82,Real,Eidel,Brazil,retail,high school diploma,false,false,false
Purcell Brownlow,38,Real,Aibox,Brazil,retail,bachelor's degree,false,true,true
Dorris Jukubczak,35,Pound,Yakijo,Egypt,real estate,master's degree,true,false,true
Salomi Dibley,74,Rupiah,Riffpedia,Indonesia,real estate,master's degree,true,false,true
Hinze Starkey,75,Yen,Wikizz,Japan,technology,high school diploma,true,false,false
Mimi Bedo,81,Peso,Yamia,Colombia,technology,high school diploma,false,false,false
Clyde Anthonsen,45,Peso,Blogpad,Philippines,real estate,high school diploma,false,false,true
Diandra Kenwood,39,Yuan Renminbi,Edgewire,China,real estate,bachelor's degree,false,false,false
Chaim Lelliott,83,Peso,Mybuzz,Argentina,real estate,high school diploma,false,false,false
Valencia Dursley,66,Ruble,Realbuzz,Belarus,real estate,high school diploma,true,true,false
Mina Iianon,64,Shekel,Meevee,Palestinian Territory,real estate,PhD,true,true,true
Berke Barkley,79,Yuan Renminbi,Geba,China,real estate,bachelor's degree,true,true,false
Salome Biset,73,Baht,Nlounge,Thailand,real estate,PhD,true,false,true
Tulley Eddolls,57,Yuan Renminbi,Gigashots,China,retail,high school diploma,false,false,true
Lillis Drioli,72,Rial,Kazu,Iran,technology,master's degree,false,true,false
Alex Vuitte,82,Euro,Topicshots,Spain,retail,PhD,false,true,true
Flossi Trudgeon,30,Balboa,Aimbu,Panama,finance,PhD,false,false,true
Gloriane Zammett,39,Marka,Gabtype,Bosnia and Herzegovina,retail,bachelor's degree,false,true,false
Katrina Kigelman,52,Sol,Topdrive,Peru,technology,bachelor's degree,true,true,true
Zsa zsa Blunden,62,Peso,Flipopia,Argentina,finance,PhD,false,false,true
Greg McNelly,30,Ruble,Fatz,Russia,technology,bachelor's degree,false,true,false
Lonny Salomon,80,Yuan Renminbi,Linktype,China,real estate,high school diploma,true,false,false
Riannon Ortega,35,Euro,Oodoo,Greece,retail,PhD,true,false,true
Birdie Jaulmes,54,Euro,Devify,France,technology,master's degree,true,true,false
Ester Stanistreet,70,Won,Kazu,South Korea,real estate,PhD,false,true,false
Zaneta MacGhee,59,Ruble,Mynte,Russia,retail,bachelor's degree,true,true,false
Gene Astlett,64,Marka,Thoughtmix,Bosnia and Herzegovina,real estate,PhD,true,false,false
Florence Augustine,41,Rupiah,Jetwire,Indonesia,retail,master's degree,true,false,false
Daniella Bayliss,67,Gourde,Roodel,Haiti,retail,high school diploma,true,true,true
Hermine Laise,79,Rupiah,Photobug,Indonesia,retail,high school diploma,false,true,true
Sheeree Lamming,46,Euro,Dazzlesphere,Greece,finance,PhD,false,false,false
Goddard Brimicombe,61,Yuan Renminbi,Youtags,China,retail,bachelor's degree,true,true,true
Maitilde Lead,72,Dollar,Rhybox,United States,finance,bachelor's degree,false,false,true
Brander Bramstom,45,Yuan Renminbi,Minyx,China,real estate,bachelor's degree,false,false,false
Helli Dack,52,Yuan Renminbi,Kwideo,China,real estate,high school diploma,false,false,true
Caleb Gino,79,Krone,Photobug,Norway,retail,high school diploma,true,true,true
Erick Brent,32,Euro,Quamba,France,finance,bachelor's degree,true,true,false
Nikos Vedenyakin,83,Zloty,Browsedrive,Poland,technology,bachelor's degree,true,false,false
Ricky Vose,59,Dollar,Devpulse,Marshall Islands,retail,high school diploma,true,false,true
Bobette Ackenson,64,Peso,Skipfire,Philippines,real estate,high school diploma,true,true,false
Cliff Putton,41,Zloty,Talane,Poland,retail,master's degree,true,false,true
Ewart Danilchik,43,Euro,Rhyzio,Portugal,technology,bachelor's degree,false,true,false
Harris Drakes,57,Afghani,Lajo,Afghanistan,retail,PhD,false,false,true
Esme Pfeifer,70,Yuan Renminbi,Voolia,China,retail,PhD,false,false,false
Shelley Olding,76,Rupiah,InnoZ,Indonesia,finance,master's degree,false,false,true
Freddie Zanotti,60,Rupiah,Katz,Indonesia,technology,master's degree,false,true,true
Gwyneth Frizzell,72,Yuan Renminbi,Gabtune,China,real estate,bachelor's degree,false,false,true
Amalee Opie,75,Yuan Renminbi,Teklist,China,real estate,high school diploma,false,true,true
Lanni Bortoletti,38,Peso,Aivee,Philippines,finance,PhD,true,false,false
Shoshanna Francklin,52,Zloty,Dynabox,Poland,finance,high school diploma,true,false,false
Allie Martinson,73,Real,Linklinks,Brazil,technology,PhD,false,false,true
Roma Stanney,86,Real,Yombu,Brazil,retail,PhD,true,true,false
Warren MacCaughey,32,Rupiah,Skyba,Indonesia,retail,PhD,false,true,false
Johny Casford,37,Yuan Renminbi,Ailane,China,real estate,high school diploma,true,false,false
Evy Cesco,42,Ruble,Quatz,Russia,technology,high school diploma,false,true,true
Nestor Yelland,89,Yuan Renminbi,Skajo,China,technology,PhD,true,false,true
Myriam Keenan,68,Peso,Yodo,Argentina,technology,PhD,false,true,true
Faunie Duffree,45,Euro,Wikizz,France,retail,master's degree,true,false,false
Johnny Cowdroy,82,Euro,Babbleblab,Austria,technology,master's degree,true,true,false
Archibald Garey,88,Yuan Renminbi,Tavu,China,finance,bachelor's degree,true,true,false
Homere Vasilyonok,70,Krona,Linktype,Sweden,real estate,high school diploma,false,true,false
Wittie Tipper,79,Krona,Kwimbee,Sweden,real estate,high school diploma,true,true,false
Maddie Cherm,69,Rupiah,Dabjam,Indonesia,retail,high school diploma,false,false,true
Vivia Blabber,59,Bolivar,Fivebridge,Venezuela,real estate,bachelor's degree,false,false,false
Vick Hennemann,56,Franc,Avaveo,Central African Republic,finance,PhD,false,true,true
Eddy Chatelet,30,Lari,Fadeo,Georgia,finance,bachelor's degree,true,false,true
Rhody Gossage,89,Ruble,Photobug,Russia,technology,high school diploma,true,false,true
Adrea Perren,55,Krona,Dablist,Sweden,technology,master's degree,false,true,false
Yolande Tottem,60,Rupiah,Zoombeat,Indonesia,finance,high school diploma,true,false,false
Leandra Teece,79,Euro,Mudo,Slovenia,retail,high school diploma,true,false,false
Ernaline Tompsett,36,Rupiah,Thoughtblab,Indonesia,technology,master's degree,false,false,false
Jyoti McCreadie,57,Dollar,Miboo,Namibia,retail,PhD,true,true,true
Ceciley Blanchard,52,Tugrik,Shufflebeat,Mongolia,finance,master's degree,true,false,false
Edlin Lowy,34,Yuan Renminbi,Innojam,China,finance,PhD,true,false,true
Pattie Hollidge,61,Ruble,Gigabox,Russia,real estate,master's degree,true,false,false
Marita Antonoyev,36,Guarani,Dabtype,Paraguay,finance,PhD,false,true,true
Chen Alpin,72,Peso,Thoughtmix,Argentina,real estate,PhD,false,true,true
Tori Melby,56,Ruble,Voomm,Russia,technology,PhD,true,false,true
Margret Byrcher,66,Peso,Browsebug,Philippines,technology,bachelor's degree,false,true,true
Maisey Kochs,66,Yuan Renminbi,Voonder,China,finance,PhD,false,false,false
Bessy Puden,52,Peso,Fanoodle,Philippines,real estate,master's degree,true,true,false
Bunnie Goodinson,84,Litas,Eayo,Lithuania,technology,bachelor's degree,true,true,false
Cinderella Fischer,80,Rupiah,Twimm,Indonesia,technology,high school diploma,true,false,true
Matthias Donkersley,52,Euro,Einti,Malta,retail,master's degree,true,false,true
Harbert Jorez,60,Real,Yozio,Brazil,technology,master's degree,true,true,true
Arabella Lainge,59,Rupiah,Jamia,Indonesia,real estate,PhD,true,true,true
Gaye Strippling,84,Franc,Plajo,Ivory Coast,finance,high school diploma,false,false,false
Bryn Evershed,66,Rupiah,Livefish,Indonesia,finance,bachelor's degree,false,false,true
Mureil McGuckin,80,Peso,Twitterlist,Colombia,finance,master's degree,true,false,true
Sheffie Capstack,30,Euro,Chatterpoint,Germany,retail,master's degree,false,false,true
Kristin Sommerfeld,58,Dong,Tagchat,Vietnam,retail,bachelor's degree,false,true,true
Thia Greest,86,Ruble,Trupe,Russia,real estate,master's degree,true,false,true
Marieann Baudinet,62,Rupiah,Katz,Indonesia,real estate,high school diploma,true,false,true
Herrick Axten,53,Pula,Eayo,Botswana,finance,bachelor's degree,false,false,false
Robinet Marcussen,64,Dollar,Riffpedia,United States,retail,bachelor's degree,false,false,false
Sibeal Kirkman,67,Yuan Renminbi,Photojam,China,technology,master's degree,false,false,true
Kathe Gergus,86,Real,Kwideo,Brazil,retail,master's degree,true,false,false
Annissa Griffithe,45,Rupiah,Roombo,Indonesia,technology,high school diploma,true,true,true
Lindie Doull,81,Peso,Mynte,Colombia,real estate,master's degree,false,true,false
Selma Childe,64,Rupiah,Jetpulse,Indonesia,finance,high school diploma,true,true,true
Lorianne Gemlett,73,Zloty,Meezzy,Poland,finance,bachelor's degree,false,true,true
Dixie Garahan,35,Yuan Renminbi,Vimbo,China,finance,PhD,false,false,true
Kaspar Critten,30,Rupiah,Viva,Indonesia,retail,PhD,false,true,true
Sidonnie Bigmore,76,Yuan Renminbi,Zoonder,China,real estate,master's degree,true,true,false
Karissa Ick,80,Zloty,Trilith,Poland,technology,high school diploma,true,true,true
Tonye Rubbert,44,Dinar,Avamm,Serbia,real estate,master's degree,false,false,false
Gilburt Ethridge,44,Franc,Jabbersphere,Comoros,finance,PhD,true,true,false
Gabriellia Swaisland,35,Euro,Centimia,France,finance,PhD,true,true,false
Rory Ruddock,84,Real,Kanoodle,Brazil,retail,PhD,false,false,true
Neilla Dzenisenka,51,Peso,Midel,Philippines,real estate,high school diploma,true,true,true
Hebert Kem,35,Dong,Zava,Vietnam,real estate,master's degree,false,false,false
Guillema Champagne,90,Yuan Renminbi,Cogibox,China,finance,PhD,false,false,false
Reggie Blackwell,75,Won,Bubblemix,North Korea,real estate,master's degree,false,false,false
Bronson Kellen,60,Dirham,Midel,Morocco,retail,master's degree,false,false,false
Harlen Dunlop,75,Tugrik,Skimia,Mongolia,finance,PhD,false,true,true
Klarika Manie,82,Rupiah,Gabtype,Indonesia,retail,master's degree,false,true,true
Allyn Goodrich,74,Franc,Yotz,Democratic Republic of the Congo,finance,PhD,true,true,true
Angelo Peatheyjohns,45,Peso,Gabcube,Colombia,technology,master's degree,false,false,true
Twyla McElory,73,Zloty,Edgeify,Poland,finance,bachelor's degree,true,false,true
Rollins Renny,88,Yen,Jetwire,Japan,technology,bachelor's degree,true,false,false
Harold Shawe,47,Yuan Renminbi,Yoveo,China,retail,PhD,true,true,false
Lizbeth Wrench,38,Sol,Rooxo,Peru,real estate,bachelor's degree,true,false,true
Lefty Tugman,73,Yuan Renminbi,Quatz,China,retail,master's degree,false,true,true
Gabriello Jelley,81,Taka,Katz,Bangladesh,retail,high school diploma,true,true,true
Tye Churching,63,Marka,Aimbo,Bosnia and Herzegovina,real estate,high school diploma,false,false,false
Jacynth Irnys,42,Rupiah,Eimbee,Indonesia,technology,PhD,false,true,false
Dannie Mapam,38,Pound,Gabtune,United Kingdom,finance,master's degree,true,true,true
Sheba Crissil,47,Peso,Tagopia,Philippines,technology,high school diploma,true,true,false
Maybelle Hainey`,74,Bolivar,Vimbo,Venezuela,technology,bachelor's degree,true,true,false
Beatrice Kingsman,89,Rupiah,Latz,Indonesia,real estate,bachelor's degree,true,false,true
Gilda Napthine,87,Franc,Ntag,Guinea,finance,bachelor's degree,true,false,true
Town Chessor,52,Lek,Jabberstorm,Albania,retail,master's degree,false,false,true
Yves Guerri,72,Dollar,Demivee,Canada,technology,high school diploma,false,true,false
Danit Rumming,87,Dollar,Meetz,United States,retail,bachelor's degree,false,false,false
Clim Sima,31,Yuan Renminbi,Ailane,China,real estate,high school diploma,false,false,true
Aila Hambribe,85,Rupiah,Tekfly,Indonesia,finance,PhD,false,true,false
Nickolai Durrell,80,Yuan Renminbi,Vitz,China,technology,bachelor's degree,false,false,false
Aile Back,70,Rupiah,Katz,Indonesia,technology,PhD,false,true,false
Helena Gornar,44,Peso,Trilia,Philippines,finance,high school diploma,true,false,false
Roman Benyan,49,Rupiah,Jabbersphere,Indonesia,retail,master's degree,false,false,false
Silvester Terran,39,Yuan Renminbi,Divanoodle,China,technology,master's degree,true,false,true
Sandy Lambertazzi,72,Rupiah,Feedspan,Indonesia,technology,bachelor's degree,true,false,true
Gerhardine Kinnard,58,Zloty,Dazzlesphere,Poland,retail,PhD,false,true,false
Lisabeth Robertelli,51,Dollar,Topicstorm,Australia,technology,bachelor's degree,true,true,false
Anny Harroll,68,Yuan Renminbi,Babbleopia,China,retail,high school diploma,false,false,false
Padget Bernucci,42,Lev,Bubblebox,Bulgaria,retail,master's degree,true,false,true
Ian Stigers,51,Baht,Blogtag,Thailand,retail,high school diploma,true,true,false
Virgilio Jeannot,52,Balboa,Podcat,Panama,retail,high school diploma,true,false,true
Harriott DelaField,76,Peso,Oba,Philippines,retail,bachelor's degree,true,true,true
Kaylee Sterman,55,Won,Oyondu,South Korea,retail,master's degree,true,true,false
Dan Mc Menamin,82,Peso,Photofeed,Mexico,retail,high school diploma,false,true,true
Der Cawt,82,Dinar,Browsebug,Tunisia,retail,master's degree,true,false,false
Leanora Rising,37,Yuan Renminbi,Quimm,China,retail,bachelor's degree,true,false,false
Gabriellia Sellors,54,Dollar,Mymm,Namibia,real estate,PhD,false,false,true
Duane Alchin,52,Peso,Centidel,Philippines,technology,high school diploma,false,true,true
Nerta Inman,54,Yuan Renminbi,Brightdog,China,technology,master's degree,false,true,false
Lefty de Amaya,86,Yuan Renminbi,Thoughtbeat,China,finance,high school diploma,true,true,false
Maximilien Churchard,44,Dollar,Photolist,Canada,real estate,bachelor's degree,true,true,false
Galven Lingfoot,58,Yuan Renminbi,Skibox,China,technology,bachelor's degree,false,true,true
Lina Cullon,37,Euro,Yabox,France,retail,high school diploma,false,false,false
Renaldo Hodges,69,Yuan Renminbi,Twiyo,China,finance,master's degree,true,true,true
Julita Tedorenko,39,Rupee,Lajo,Pakistan,technology,high school diploma,false,false,false
Hewet Domenichini,37,Dollar,Linklinks,New Zealand,finance,master's degree,true,false,false
Tove Beeby,83,Euro,Blogpad,France,real estate,bachelor's degree,true,false,true
Edgard Downing,34,Ruble,Linklinks,Russia,finance,high school diploma,true,true,true
Shellysheldon Balazot,51,Ruble,Mycat,Russia,technology,master's degree,false,false,true
Tawnya Hyett,40,Ringgit,Devpulse,Malaysia,real estate,bachelor's degree,false,true,false
Tyrone Adamovich,31,Rupiah,Jabbersphere,Indonesia,retail,master's degree,true,false,false
Vivian Harme,81,Peso,Wordpedia,Mexico,real estate,PhD,false,true,false
Renelle Lakenden,71,Rupiah,Jabbertype,Indonesia,real estate,high school diploma,false,true,true
Waring Phifer,85,Rupiah,Jaxbean,Indonesia,real estate,high school diploma,false,true,true
Bordy Glowach,74,Dollar,Mydo,Namibia,retail,high school diploma,true,false,false
Nita Hughlin,34,Euro,Bluezoom,France,technology,PhD,true,true,true
Emmie Ludewig,58,Yen,Jetpulse,Japan,finance,high school diploma,false,false,false
Bradford Cavalier,36,Ruble,Voonder,Russia,finance,PhD,true,false,false
Lanna Abrahams,63,Ruble,Oozz,Russia,retail,bachelor's degree,true,true,true
Spike Ludlom,40,Naira,Skyble,Nigeria,retail,master's degree,true,true,false
